network_packet_rate,sampling_latency,packet_loss_rate,smart_contract_violation,threat_label
210.56,102.93,0.009,0,0
222.26,21.02,0.014,0,0
311.91,86.21,0.016,0,0
251.76,37.31,0.01,0,0
176.23,79.91,0.013,0,0
321.18,39.27,0.001,0,0
259.42,74.97,0.011,0,0
174.37,65.38,0.009,0,0
347.71,29.66,0.006,0,0
268.85,41.28,0.02,0,0
156.6,116.41,0.004,0,0
210.96,42.9,0.01,0,0
175.79,29.05,0.012,0,0
304.6,92.98,0.003,0,0
341.49,119.82,0.009,0,0
187.07,57.37,0.004,0,0
280.83,77.59,0.014,0,0
219.14,67.21,0.005,0,0
182.48,39.95,0.017,0,0
281.8,110.15,0.013,0,0
295.84,77.81,0.001,0,0
314.21,35.54,0.007,0,0
301.09,114.3,0.007,0,0
214.73,47.09,0.01,0,0
349.89,36.52,0.001,0,0
232.76,110.88,0.013,0,0
211.45,92.25,0.012,0,0
320.61,35.7,0.01,0,0
188.32,94.84,0.011,0,0
264.03,67.23,0.012,0,0
159.88,114.24,0.019,0,0
263.13,98.48,0.018,0,0
238.33,43.9,0.0,0,0
257.94,64.83,0.001,0,0
264.76,27.46,0.0,0,0
225.65,111.18,0.007,0,0
253.11,93.9,0.019,0,0
313.21,101.73,0.014,0,0
274.47,63.19,0.005,0,0
241.47,63.92,0.007,0,0
282.83,22.73,0.016,0,0
215.53,49.02,0.003,0,0
258.22,101.74,0.016,0,0
270.02,78.26,0.018,0,0
348.27,106.52,0.014,0,0
313.5,38.89,0.007,0,0
278.92,108.43,0.019,0,0
289.92,117.23,0.004,0,0
274.14,91.19,0.014,0,0
287.72,72.43,0.002,0,0
267.93,61.74,0.011,0,0
230.48,76.83,0.016,0,0
172.28,30.79,0.007,0,0
227.63,67.5,0.017,0,0
168.46,118.34,0.018,0,0
326.3,24.87,0.02,0,0
242.42,106.71,0.0,0,0
244.55,55.27,0.006,0,0
332.65,102.87,0.016,0,0
154.08,50.25,0.016,0,0
250.97,27.76,0.002,0,0
158.76,116.97,0.002,0,0
299.75,45.95,0.003,0,0
184.61,50.51,0.008,0,0
228.08,107.48,0.018,0,0
175.05,61.78,0.014,0,0
166.99,110.4,0.019,0,0
341.11,56.17,0.019,0,0
309.14,62.1,0.01,0,0
286.18,45.2,0.013,0,0
296.75,110.23,0.006,0,0
323.99,68.4,0.008,0,0
311.27,97.62,0.0,0,0
155.5,105.04,0.017,0,0
248.31,114.8,0.001,0,0
339.25,113.51,0.005,0,0
326.72,85.39,0.006,0,0
301.49,115.36,0.003,0,0
189.23,33.58,0.001,0,0
185.64,55.65,0.017,0,0
340.76,55.24,0.012,0,0
174.79,72.92,0.013,0,0
291.23,73.3,0.015,0,0
336.53,68.89,0.002,0,0
340.87,106.61,0.007,0,0
187.61,39.74,0.011,0,0
272.94,37.67,0.012,0,0
318.78,66.21,0.02,0,0
197.47,28.27,0.009,0,0
322.1,115.78,0.007,0,0
281.69,68.11,0.011,0,0
281.79,103.5,0.0,0,0
192.51,47.92,0.01,0,0
347.44,59.67,0.012,0,0
196.49,60.76,0.018,0,0
153.24,105.73,0.002,0,0
188.72,80.17,0.002,0,0
279.47,96.77,0.009,0,0
322.44,36.07,0.016,0,0
177.18,45.04,0.01,0,0
296.88,96.83,0.02,0,0
162.61,107.85,0.014,0,0
313.24,56.25,0.004,0,0
272.56,69.09,0.016,1,1
293.96,29.57,0.015,0,0
204.59,55.89,0.02,0,0
256.6,79.67,0.003,0,0
222.21,40.27,0.014,0,0
309.19,25.66,0.015,0,0
213.18,85.59,0.02,0,0
155.08,88.29,0.007,0,0
255.8,27.98,0.016,0,0
158.57,49.93,0.018,0,0
176.09,74.87,0.018,0,0
193.67,86.5,0.005,0,0
247.61,41.34,0.02,0,0
271.09,100.73,0.009,0,0
266.31,100.24,0.015,0,0
299.78,81.25,0.018,0,0
181.6,28.12,0.012,0,0
174.55,91.34,0.008,0,0
326.23,99.26,0.018,0,0
324.88,71.33,0.016,0,0
252.2,52.5,0.014,0,0
342.55,46.51,0.013,0,0
318.89,20.52,0.013,0,0
197.88,38.8,0.003,0,0
206.17,82.23,0.006,0,0
237.3,73.96,0.017,0,0
298.88,44.94,0.002,0,0
194.76,54.45,0.013,0,0
339.47,118.13,0.017,0,0
