network_packet_size,network_packet_rate,network_protocol,hash_mismatch_rate,smart_contract_violation,transaction_latency_drift,device_activity_variance,vital_stats_stability,response_time_deviation,threat_label,trigger_reason
1235,39.96,1,0.019,0,0.436,0.904,0.572,0.378,1,"network_packet_size, network_protocol, transaction_latency_drift, device_activity_variance, response_time_deviation"
1052,220.65,0,0.152,0,0.4,0.532,0.913,0.439,1,"hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
710,438.72,0,0.052,1,0.101,0.026,0.616,0.494,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, response_time_deviation"
452,240.35,1,0.166,0,0.496,0.664,0.643,0.373,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
1279,224.23,0,0.179,0,0.071,0.638,0.403,0.371,1,"network_packet_size, hash_mismatch_rate, device_activity_variance, response_time_deviation"
596,322.28,0,0.183,0,0.32,0.813,0.521,0.29,1,"network_packet_rate, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
945,230.34,0,0.087,0,0.388,0.11,0.432,0.029,1,"hash_mismatch_rate, transaction_latency_drift"
899,188.72,1,0.157,0,0.254,0.849,0.363,0.149,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability"
1162,456.18,1,0.163,1,0.233,0.37,0.923,0.498,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
256,486.66,0,0.165,1,0.106,0.191,0.364,0.365,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, vital_stats_stability, response_time_deviation"
1385,14.7,0,0.007,1,0.081,0.928,0.665,0.28,1,"network_packet_size, smart_contract_violation, device_activity_variance, response_time_deviation"
362,88.51,0,0.182,0,0.454,0.798,0.011,0.216,1,"hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
787,90.47,0,0.006,0,0.124,0.459,0.482,0.241,1,response_time_deviation
1015,113.88,0,0.136,1,0.339,0.406,0.361,0.258,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1069,368.07,1,0.03,0,0.233,0.264,0.774,0.348,1,"network_packet_rate, network_protocol, transaction_latency_drift, response_time_deviation"
1311,131.22,0,0.156,0,0.384,0.329,0.278,0.047,1,"network_packet_size, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability"
898,468.71,1,0.11,0,0.257,0.641,0.359,0.443,1,"network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
1004,162.05,0,0.188,0,0.352,0.93,0.226,0.131,1,"hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability"
639,344.79,1,0.004,1,0.135,0.619,0.551,0.07,1,"network_packet_rate, network_protocol, smart_contract_violation, device_activity_variance"
1365,474.13,1,0.029,1,0.38,0.808,0.752,0.269,1,"network_packet_size, network_packet_rate, network_protocol, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
1234,48.9,1,0.079,0,0.108,0.219,0.058,0.147,1,"network_packet_size, network_protocol, hash_mismatch_rate, vital_stats_stability"
1006,63.55,1,0.108,0,0.067,0.348,0.092,0.406,1,"network_protocol, hash_mismatch_rate, vital_stats_stability, response_time_deviation"
733,163.89,0,0.176,1,0.189,0.63,0.79,0.264,1,"hash_mismatch_rate, smart_contract_violation, device_activity_variance, response_time_deviation"
1462,399.88,1,0.163,0,0.38,0.684,0.922,0.021,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance"
844,459.78,0,0.0,1,0.443,0.477,0.946,0.139,1,"network_packet_rate, smart_contract_violation, transaction_latency_drift"
832,403.92,0,0.045,1,0.095,0.277,0.434,0.056,1,"network_packet_rate, smart_contract_violation"
1453,170.94,0,0.152,0,0.431,0.071,0.091,0.353,1,"network_packet_size, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1417,332.18,1,0.028,0,0.346,0.615,0.414,0.284,1,"network_packet_size, network_packet_rate, network_protocol, transaction_latency_drift, device_activity_variance, response_time_deviation"
513,91.83,1,0.052,0,0.351,0.549,0.711,0.392,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
1363,158.3,1,0.024,0,0.151,0.475,0.051,0.138,1,"network_packet_size, network_protocol, vital_stats_stability"
1319,145.32,0,0.043,0,0.015,0.464,0.669,0.162,1,network_packet_size
1173,167.51,1,0.14,1,0.118,0.184,0.515,0.017,1,"network_protocol, hash_mismatch_rate, smart_contract_violation"
851,363.94,1,0.196,0,0.202,0.322,0.769,0.351,1,"network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
673,77.04,0,0.181,1,0.086,0.437,0.343,0.089,1,"hash_mismatch_rate, smart_contract_violation, vital_stats_stability"
1413,392.83,1,0.102,1,0.026,0.368,0.73,0.06,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation"
1404,21.88,1,0.16,1,0.216,0.99,0.893,0.417,1,"network_packet_size, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
912,18.28,0,0.156,1,0.051,0.546,0.592,0.046,1,"hash_mismatch_rate, smart_contract_violation"
1332,264.22,0,0.161,0,0.354,0.908,0.993,0.203,1,"network_packet_size, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
689,264.32,0,0.045,0,0.348,0.494,0.596,0.393,1,"transaction_latency_drift, response_time_deviation"
400,262.11,0,0.074,1,0.169,0.714,0.596,0.101,1,"hash_mismatch_rate, smart_contract_violation, device_activity_variance"
1075,288.28,1,0.079,1,0.017,0.077,0.547,0.229,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, response_time_deviation"
770,336.46,1,0.126,0,0.311,0.746,0.295,0.108,1,"network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability"
1294,496.64,1,0.024,1,0.071,0.218,0.744,0.294,1,"network_packet_size, network_packet_rate, network_protocol, smart_contract_violation, response_time_deviation"
512,157.64,0,0.107,0,0.076,0.028,0.67,0.483,1,"hash_mismatch_rate, response_time_deviation"
1041,345.76,0,0.098,0,0.026,0.99,0.876,0.158,1,"network_packet_rate, hash_mismatch_rate, device_activity_variance"
349,7.67,1,0.03,0,0.038,0.5,0.029,0.455,1,"network_protocol, vital_stats_stability, response_time_deviation"
1259,213.29,1,0.168,1,0.404,0.735,0.486,0.102,1,"network_packet_size, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance"
341,95.51,0,0.031,1,0.268,0.182,0.319,0.129,1,"smart_contract_violation, transaction_latency_drift, vital_stats_stability"
1087,169.54,1,0.134,0,0.118,0.513,0.487,0.336,1,"network_protocol, hash_mismatch_rate, response_time_deviation"
899,181.11,1,0.144,1,0.005,0.893,0.923,0.368,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, device_activity_variance, response_time_deviation"
659,34.3,1,0.027,1,0.494,0.083,0.147,0.365,1,"network_protocol, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
567,482.99,0,0.017,1,0.118,0.982,0.139,0.21,1,"network_packet_rate, smart_contract_violation, device_activity_variance, vital_stats_stability, response_time_deviation"
941,24.59,1,0.078,0,0.379,0.723,0.951,0.184,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance"
1442,259.89,1,0.135,0,0.45,0.581,0.209,0.024,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability"
631,492.39,1,0.122,1,0.112,0.492,0.62,0.153,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation"
564,376.11,1,0.195,1,0.241,0.525,0.855,0.492,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
1058,417.42,1,0.15,1,0.338,0.487,0.014,0.268,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
750,92.22,1,0.136,0,0.161,0.279,0.219,0.437,1,"network_protocol, hash_mismatch_rate, vital_stats_stability, response_time_deviation"
456,208.13,1,0.105,1,0.093,0.266,0.982,0.068,1,"network_protocol, hash_mismatch_rate, smart_contract_violation"
822,127.39,1,0.095,1,0.344,0.986,0.439,0.007,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance"
728,343.12,1,0.176,1,0.197,0.741,0.29,0.426,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, device_activity_variance, vital_stats_stability, response_time_deviation"
266,124.14,1,0.057,0,0.278,0.461,0.006,0.465,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1320,45.79,1,0.107,1,0.043,0.235,0.144,0.15,1,"network_packet_size, network_protocol, hash_mismatch_rate, smart_contract_violation, vital_stats_stability"
701,216.7,1,0.006,1,0.273,0.987,0.477,0.071,1,"network_protocol, smart_contract_violation, transaction_latency_drift, device_activity_variance"
1477,31.17,1,0.085,0,0.014,0.604,0.864,0.297,1,"network_packet_size, network_protocol, hash_mismatch_rate, device_activity_variance, response_time_deviation"
993,106.33,0,0.066,0,0.441,0.384,0.829,0.236,1,"hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
1356,364.41,1,0.05,1,0.388,0.885,0.554,0.413,1,"network_packet_size, network_packet_rate, network_protocol, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
1312,463.07,0,0.018,0,0.328,0.64,0.22,0.132,1,"network_packet_size, network_packet_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability"
598,336.06,1,0.178,0,0.357,0.1,0.62,0.048,1,"network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift"
1142,324.79,0,0.187,1,0.173,0.453,0.227,0.455,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, vital_stats_stability, response_time_deviation"
765,59.8,0,0.177,1,0.075,0.434,0.289,0.298,1,"hash_mismatch_rate, smart_contract_violation, vital_stats_stability, response_time_deviation"
430,46.21,0,0.05,1,0.048,0.918,0.835,0.165,1,"smart_contract_violation, device_activity_variance"
449,360.76,1,0.172,1,0.295,0.385,0.459,0.11,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift"
663,243.14,1,0.131,0,0.203,0.544,0.987,0.174,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift"
1049,473.12,0,0.15,0,0.252,0.158,0.874,0.327,1,"network_packet_rate, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
1314,162.98,0,0.107,0,0.344,0.24,0.412,0.001,1,"network_packet_size, hash_mismatch_rate, transaction_latency_drift"
424,438.22,1,0.079,0,0.399,0.158,0.605,0.1,1,"network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift"
921,315.73,0,0.136,0,0.194,0.976,0.703,0.13,1,"network_packet_rate, hash_mismatch_rate, device_activity_variance"
325,482.81,0,0.147,0,0.423,0.523,0.299,0.079,1,"network_packet_rate, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability"
1467,22.94,1,0.008,1,0.308,0.989,0.481,0.271,1,"network_packet_size, network_protocol, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
1314,222.47,0,0.028,0,0.315,0.713,0.862,0.029,1,"network_packet_size, transaction_latency_drift, device_activity_variance"
992,56.96,1,0.007,1,0.162,0.618,0.843,0.309,1,"network_protocol, smart_contract_violation, device_activity_variance, response_time_deviation"
452,77.77,0,0.082,1,0.484,0.93,0.834,0.441,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
392,14.54,1,0.18,1,0.166,0.919,0.723,0.005,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, device_activity_variance"
951,387.89,0,0.135,1,0.139,0.999,0.977,0.383,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, device_activity_variance, response_time_deviation"
1117,219.92,0,0.071,1,0.01,0.254,0.016,0.256,1,"hash_mismatch_rate, smart_contract_violation, vital_stats_stability, response_time_deviation"
1360,166.3,1,0.024,0,0.167,0.308,0.823,0.184,1,"network_packet_size, network_protocol"
275,24.96,1,0.107,1,0.238,0.817,0.583,0.341,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
231,96.56,1,0.167,0,0.039,0.107,0.793,0.395,1,"network_protocol, hash_mismatch_rate, response_time_deviation"
479,265.46,0,0.175,1,0.333,0.242,0.356,0.221,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1353,222.33,1,0.003,0,0.005,0.042,0.258,0.289,1,"network_packet_size, network_protocol, vital_stats_stability, response_time_deviation"
745,139.75,1,0.053,1,0.068,0.821,0.517,0.3,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, device_activity_variance, response_time_deviation"
648,397.79,0,0.146,1,0.406,0.904,0.024,0.352,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
1029,301.92,1,0.037,1,0.239,0.742,0.013,0.445,1,"network_packet_rate, network_protocol, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
500,76.88,0,0.065,1,0.231,0.017,0.221,0.427,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
329,44.67,0,0.06,1,0.423,0.006,0.157,0.303,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1056,388.93,1,0.139,0,0.293,0.783,0.796,0.267,1,"network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
1361,245.5,0,0.145,0,0.157,0.101,0.558,0.397,1,"network_packet_size, hash_mismatch_rate, response_time_deviation"
696,127.13,0,0.092,1,0.1,0.412,0.273,0.498,1,"hash_mismatch_rate, smart_contract_violation, vital_stats_stability, response_time_deviation"
977,281.07,1,0.143,0,0.438,0.317,0.079,0.279,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
353,144.33,0,0.143,0,0.11,0.23,0.512,0.339,1,"hash_mismatch_rate, response_time_deviation"
589,116.99,0,0.187,0,0.309,0.242,0.745,0.14,1,"hash_mismatch_rate, transaction_latency_drift"
1422,272.92,1,0.087,0,0.388,0.103,0.437,0.496,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
1222,223.82,1,0.139,0,0.405,0.273,0.049,0.178,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability"
1127,269.82,0,0.038,1,0.036,0.254,0.1,0.291,1,"smart_contract_violation, vital_stats_stability, response_time_deviation"
1451,84.5,1,0.057,0,0.49,0.839,0.412,0.198,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance"
269,102.16,0,0.161,1,0.206,0.73,0.229,0.099,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability"
1456,376.86,1,0.054,1,0.316,0.666,0.354,0.416,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
352,347.45,1,0.047,1,0.121,0.71,0.896,0.154,1,"network_packet_rate, network_protocol, smart_contract_violation, device_activity_variance"
